Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
341,Tyrone Mings,ENG,DF,Aston Villa,28,1993,36,35,3189,35.4,1,3,1,0,0,11,0,0.03,0.08,0.11,0.03,0.11,1.4,1.4,1.5,2.9,0.04,0.04,0.08,0.04,0.08
342,Tyrick Mitchell,ENG,DF,Crystal Palace,21,1999,36,35,3101,34.5,0,2,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,1.3,1.6,0.01,0.04,0.05,0.01,0.05
343,Jakub Moder,Poland,MF/FW,Brighton,22,1999,28,19,1701,18.9,0,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,2.4,2.4,1.7,4.1,0.13,0.09,0.22,0.13,0.22
344,Wesley Moraes,Brazil,FW,Aston Villa,24,1996,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
345,Tyler Morton,ENG,MF,Liverpool,18,2002,2,1,66,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
346,Mason Mount,ENG,MF/FW,Chelsea,22,1999,32,27,2363,26.3,11,10,10,1,1,4,0,0.42,0.38,0.80,0.38,0.76,8.9,8.1,6.7,14.8,0.34,0.25,0.59,0.31,0.56
347,Lucas Moura,Brazil,FW/MF,Tottenham,28,1992,34,19,1775,19.7,2,6,2,0,0,4,0,0.10,0.30,0.41,0.10,0.41,3.7,3.7,4.4,8.1,0.19,0.23,0.41,0.19,0.41
348,João Moutinho,Portugal,MF,Wolves,34,1986,35,34,2970,33.0,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,1.0,1.0,2.4,3.5,0.03,0.07,0.11,0.03,0.11
349,Bali Mumba,ENG,DF,Norwich City,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
350,Jacob Murphy,ENG,FW/DF,Newcastle Utd,26,1995,33,13,1473,16.4,1,2,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,2.9,2.9,2.1,5.0,0.18,0.13,0.31,0.18,0.31
351,Enock Mwepu,ZAM,MF/FW,Brighton,23,1998,18,12,996,11.1,2,4,2,0,0,2,0,0.18,0.36,0.54,0.18,0.54,1.9,1.9,1.4,3.2,0.17,0.12,0.29,0.17,0.29
352,Vitaliy Mykolenko,UKR,DF,Everton,22,1999,13,12,1055,11.7,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.8,1.6,0.07,0.07,0.14,0.07,0.14
353,Marvelous Nakamba,ZIM,MF,Aston Villa,27,1994,16,10,904,10.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
354,Wilfred Ndidi,Nigeria,MF/DF,Leicester City,24,1996,19,18,1618,18.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.06,0.00,0.06,0.06,0.06
