,Date,City,State,Dead,Injured,Total,Description,Year
2381,2018-04-18,Asheville,North Carolina,4,3,7,"A man killed a mother and two of her children, wounded her other three children, and then killed himself.",2018
2382,2018-04-15,Shreveport,Louisiana,0,6,6,Six people in a tattoo parlor were injured when they were shot at by a person in a pickup truck outside the business.,2018
2383,2018-04-09,Vallejo,California,0,4,4,Four people were injured in a shooting outside an apartment complex.,2018
2384,2018-04-08,Miami,Florida,2,2,4,Two people were killed and two were wounded in a shooting in the Liberty City neighborhood of Miami.,2018
2385,2018-04-08,Hickory,North Carolina,1,3,4,"Several people fired hundreds of rounds outside of a bar, killing one person and injuring three others. Three men were arrested.",2018
2386,2018-04-06,Jacksonville,Florida,0,4,4,Four people were wounded in a shooting.,2018
2387,2018-04-06,Virginia Beach,Virginia,1,3,4,One person was killed and three others were injured in a shooting.,2018
2388,2018-04-04,New Orleans,Louisiana,2,2,4,Two people were killed and two others were injured in a shooting.,2018
2389,2018-04-03,San Bruno,California,1,4,5,"YouTube headquarters shooting: A woman approached an outdoor patio at YouTube Headquarters and wounded three people before committing suicide, a fourth person was injured in the evacuation.",2018
2390,2018-04-02,Houston,Texas,1,3,4,One person was killed and three others were wounded in a drive-by shooting outside of a home.,2018
2391,2018-04-01,Mobile,Alabama,1,4,5,A fifteen-year-old was killed and four other people were wounded in a shooting at a spring break party.,2018
2392,2018-04-01,Saginaw,Michigan,0,5,5,Five people were injured in a shooting at a house party.,2018
2393,2018-03-31,Asbury Park,New Jersey,0,5,5,Five people were wounded in a drive-by shooting.,2018
2394,2018-03-29,Camden,New Jersey,0,4,4,Four people were wounded in a shooting inside a business.,2018
2395,2018-03-29,Plano,Texas,1,3,4,One person was killed and three others were injured in a shooting at an apartment complex. One person was arrested.,2018
2396,2018-03-24,West Valley City,Utah,0,4,4,Four people were injured in a drive-by shooting directed at a traveling rap group. The shooting may have been gang-related.,2018
2397,2018-03-21,San Francisco,California,1,5,6,"A police officer, the suspect, and four others were all wounded by gunfire. One of the wounded victims later died of his injuries.",2018
2398,2018-03-17,Louisville,Kentucky,0,7,7,Seven people were injured in a shooting in a nightclub.,2018
2399,2018-03-17,Harvey,Illinois,0,4,4,"Four men were wounded in a shooting in a strip club, which seemed to stem from an earlier incident at a different nightclub.",2018
2400,2018-03-13,Macclenny,Florida,0,4,4,Four people were injured in a drive-by shooting. Two people were later arrested.,2018
2401,2018-03-12,Modesto,California,0,4,4,Four people were injured when shots were fired through the garage door of the garage they were in.,2018
2402,2018-03-11,Saginaw,Michigan,0,5,5,Five people were injured in a shooting following an argument at a party.,2018
2403,2018-03-11,Champaign,Illinois,1,3,4,Three people were wounded and one other was fatally injured in a nightclub shooting following a verbal argument.,2018
2404,2018-03-11,South Bend,Indiana,0,6,6,Six people were wounded when a man began shooting at a house party. He was arrested.,2018
2405,2018-03-09,Yountville,California,5,0,5,Yountville Shooting: A man entered the Veterans Home of California and held three staff members hostage. He killed the three staff members  before killing himself in a murder–suicide.,2018
2406,2018-03-09,Wadesboro,North Carolina,3,1,4,A man killed three people and injured one other in a shooting at a restaurant and bar. He was arrested two days later.,2018
2407,2018-03-07,Hurtsboro,Alabama,2,2,4,A man entered a restaurant and killed the restaurant's owner and wounded three others. He was later taken into custody by police.,2018
2408,2018-03-04,Rockford,Illinois,1,4,5,One man was killed and four other people were injured in a shooting at a party.,2018
2409,2018-03-03,Miami,Florida,0,4,4,Four people were injured in a shooting.,2018
2410,2018-03-03,New York City,New York,1,3,4,One person was killed and three were injured in a shooting or series of shootings in a close vicinity in Brooklyn.,2018
2411,2018-02-27,Bridgeport,Connecticut,0,4,4,Four people were wounded after being shot by at least three shooters.,2018
2412,2018-02-26,Detroit,Michigan,5,0,5,"A man shot and killed the mother of his child and another woman who was sitting with her in a car at a gas station. He then killed another man at the gas station before returning home and killing his cousin. After being urged by his mother to turn himself in to police, the suspect killed himself.",2018
2413,2018-02-23,Palm Beach Gardens,Florida,1,3,4,One person was killed and three were injured after a drug deal.,2018
2414,2018-02-18,San Antonio,Texas,0,5,5,Five people were injured in a shooting outside a Texas Roadhouse.,2018
